agrupacao de interes economico,aie
agrupacion europea de interes economico,aeie
agrupamento europeu de interesse economico,aeie
akciju sabiedriba,as
akcine bendrove,ab
akcinoarsko drustvo (o a),ad
akcinoarsko drustvo o a,ad
akciova spolecnost,as
aktiengesellschaft,ag
aktiengesellschaft in grundung,ag i.g.
aktieselskaber,a/s
aktsiaselts,as
allmennaksjeselskap,asa
altrechtlicher verein,altv
andelsselskab med begraenset ansvar,amba
anonimi eteria,ae
anonim ortaklik,ao
anonim sirket,as
anpartsselskab,aps
anpartsselskab & co kg,aps & co. kg
anpartsselskab u co kg,apsucokg
anstalt offenlichen rechts,aor
ans varlig sefskap,ans
association,association / verein - verband
association declarée,adcl
association not for gain,anfg
association sans but lucratif,asbl
associazione in partecipazione,sp
auf gegenseitigkeit,ag
autonomous non-commercial organization,ano
avoin yhtio,ay
b a cooperative with limited liability,ba
bahrain shareholding company (b s c ),bsc
berhad,bhd
besloten vennootschap,bv
besloten vennootschap met beperkte aansprakelijkheid,bvba
beteti tarsasag,bt
branch of overseas company,boc
central bank,centralbank
central bank / zentralbank,centralbank
charitable company,cco
charitable incorporated association,cia
close corporation,cc
comanditaire vennootschap,cv
comanditaire vennootschap op aandelen,cva
community interest company,cic
compania anónima,ca
compania kolektiva,cia
company incorporated by royal charter,rc
company limited by guarantee,clg
company limited,co. ltd
cooperatie,coop
cooperatieve vennootschap met beperkte aansprakelijkheid,cvba
cooperatieve vereniging,coopver
cooperative de responsabilidade limitada,crl
cooperative society,coopsoc
corporation,corp
cuidechta phoibitheoranta,cpt
dependent branch,branch (dependent)
designated activity company,dac
dionicko drustvo o a,dd
druzba z neomejeno odgovornostjo,dno
druzba z omejeno odgovornostjo o a,doo
druzhestvo s ogranichena otgovornost,ood
ednolicheno aktzionerno druzhestvo,ead
eesti filiaal,eestifiliaal
eingetragene,e
eingetragene genossenschaft,eg
eingetragene kauffrau,ek
eingetragener,e
eingetragener kaufmann,ek
Kfr,k
eKfr,ek
eingetragener kaufmann / kauffrau,ek
eingetragener verein,ev
einkahlutafelag,ehf
einzel-ood & co kd,eood&co.kd
einzel-ood,eood
einzelood,eood
einzelood u co kd,eooducokd
en commandite,partcomm
en nom collectif,partnc
enskild firma,ef
enskild naringsidkare,ensk
entrepreneurial company,ug
entrepreneurial company ug,ug
entreprise unipersonnelle a responsabilite limitee,eurl
etablissement public a carac industr + commerc,epc
eterorythmos eteria,ee
euroopa majandushuvigrupp,emhg
europaische wirtschaftliche interessenvereinigung,ewiv
european economic interest group,eeig
european economic interest grouping,eeig
europees economisch samenwerkingsverband,eesv
europeisk ekonomisk intressegruppering,eeig
europejskie ugrupowanie interesow gospodarczych,euig
europske hospodarske zajmove sdruzeni,ehzs
europske zoskupenie hospodarskych zaujmov,ezhz
europsko gospodarsko interesno udruzenje,egiu
evropaïkos omilos oikonomikou skopou,eoos
evropeiskata obedinenie po ikonomicheski interesi,eoii
exempt pricate company,epcomp
filiale,filial
fondi communi di investimento,fci
fondodeinversiones,fce
fondo de inversiones,fi
fondodeinversiones,fi
forening med begraenset ansvar (=aps),fmba
free zone company,fzc
free zone establishment,fze
fundacion de caracter especial,fce
gakkoh hojin,gh
gemeinnuetzige aktiengesellschaft,gag
gemeinnuetzige,g
gemeinnuetzige gesellschaft,gg
gemeinnuetzigegesellschaft,gg
gemeinnuetzige gesellschaft mit beschraenkter haftung,ggmbh
general partnership,gp
genossenschaft,g
Genossenschaft,g
genossenschaft mit beschrankter haftung,genmbh
geschlossene sa (sociedad anónima cerrada),sac
gesellschaft buergerlichen rechts,gbr
gesellschaft burgerlichen rechts,gbr
gesellschaft,g
ges.,g
ges. mit beschränkter haftung, gmbhj
gesellschaft mit beschraenkter haftung,gmbh
gesellschaft mit beschrankter haftung in grundung,gmbhig
godo kaisha,godk
goishikaisha,goik
gomeikaisha,gomk
groupement europeen d'interet economique,geie
groupements d'interet economique,gie
grupail eorpach um leas eacnamaioch,gele
grupp ewropew ta’ interess ekonomiku,geie
gruppo europeo di interesse economico,geie
handelsbolag,hb
hisseli komandit sirket,hks
hlutafelag,hf
incorporated cell company,icc
incorporated,inc
in course of formation,i.c.f
in course of formation / in grundung,i.c.f
independent branch,branch
independent branch,branch (independent)
individualais komersants,ik
individual establishment,ie
in grundung,ig
in Gründung,ig
investmentaktiengesellschaft,invag
investment company with variable capital,icvc
investmentfonds,fonds
investmentfonds (int),fonds (int)
investment fund,fonds
investment fund,fonds (int)
investment fund / investmentfonds,fonds
investment fund / investmentfonds,fonds (int)
iriho hojin,ich
javno trgovacko drustvo,td
joint state commercial bank,ojsbc
joint stock commercial bank,jscb
joint stock company,jsc
kabushiki kaisha,kk
kapitalanlagegesellschaften,kag
kapitalanlagegesellschaft m b h,kagmbh
kapitalverwaltungsgesellschaft,kvg
kaufmann,k
Kaufmann,k
kollektivgesellschaft,kolges
kollektiv sirket,kolsrk
komanditine ukine komanditine ukine bendrija,kub
komanditna delniska druzba,kdd
komanditni spolecnost,ks
komanditno drustvo o a,kd
komanditsabiedriba,ks
komanditselskaber,k/s
komandit sirket,komsrk
komandittselskap,k/s
kommanditaktiengesellschaft,kgag
kommanditbolag,kb
kommanditerwerbsgesellschaft,keg
kommanditgesellschaft,kg
kooperatif sirket,koopsrk
korlatolt felelossegu tarsasag,kft
korperschaft offenlichen rechts,kor
korperschaft offentlichen rechts,kor
kozkereseti tarsasag,kkt
kuwait shareholding company,ksc
ley de sociedades de responsabilidad limitada,lsl
limited & co kg,ltd & co. kg
limited duration company,ldc
limited liability company,llc
limited liability partnership,llp
limited,ltd
limited partnership,lp
limited sirket,ltdsi
mit beschraenkter haftung,mbh
mutual fund,mutualfund
mutualidad de prevision social a prima fija,mdpsapf
mutual / mutuelle,mutuelle
naamloze vennootschap,nv
national association,na
nicht eingetragener verein,nev
n p o hojin,npoh
nyilvanosan mukodo reszvenytarsasag,nyrt
obecne prospesna spolecnost,ops
obshtschestwo s ogranitschennoi otwetstwennostju,ooo
offene erwerbsgesellschaft,oeg
offene gesellschaft,og
offene handelsgesellschaft,ohg
ohg mit beschrankter haftung,ohg mbh
ohg mit beschrankter haftung,ohgmbh
omorythmos eteria,oe
omsesidigt,oms
open ended investment company,oeic
open joint state commercial bank,ojsbc
open joint stock company,ojsc
organisme de placement collectif en valeurs mobilieres,opcvm
ortacko drustvo,od
osakeyhtio julkinen,oyj
osakeyhtio yksityinen,oy
osoba fizyczna,of
osuuskunta,osk
otkritoje akzionernoje obschtschestwo,oao
partafelag,pf
partg mit beschrankter haftung,partg mbh
partg mit beschrankter haftung,partgmbh
pension scheme,pscf
perkongsian liabiliti terhad,plt
perseroan terbatas,pt
pilna sabiedriba,ps
polnohospodarske druzstvo,pd
privata aktiebolag,abpriv
private entrepreneur,osvc
professional association,pa
professional corporation,pc
professional limited liability company,pllc
proprietary company,ptyltd
protected cell company,pcc
public bodies / staatl einheit,pubbod
public commercial company - v o s,vos
public joint stock company,pjsc
public limited company,plc
public shareholding company,psc
public unlimited company,cro
qatari shareholding company,qsc
regio decreto legge,rdl
regional,oddzial
registered charitable organization,rco
registrierte genossenschaft m b h,rgenmbh
reit-aktiengesellschaft,reitag
representationskontor,repkon
reszvenytarsasag,rt
sabiedriba ar ierobezotu atbildibu,sia
sabiratelno druzhestvo,sie
sadruzhie,sie
samorząd terytorialny,oddzial
s a /n v,nv
saudi joint stock company,sjsc
s en c,scom
sendirian berhad,sdnbhd
service corporation,scorp
shoqeri aksionere,sha
shukyo hojin,sh
sindicate,oddzial
single person company,sipc
sociedad anonima abierta,saa
sociedad anónima de capital variable,sadecv
sociedad anónima egipcia,sae
sociedad anónima libanesa,sal
sociedad anónima mónaco,sam
sociedad anónima omanaise close,saog
sociedad anónima omanaise generale,saoc
sociedad anónima qatar,saq
sociedad anónima,sa
sociedad anónima,sadecv
sociedad anonima unipersonal,sau
sociedad anónima uruguaya,sa
sociedad civil,sc
sociedad colectiva,sc
sociedad comanditaria por acciones,scompa
sociedad de responsabilidad limitada o a,srl
sociedad en comandita por acciones,scompa
sociedad en comandita,scom
sociedad en comandita (simple),scom
sociedad gestora de insitituciones de inversion,sgiic
sociedad limitada unipersonal,slu
sociedad por quotas de responsabilidade limitada,ltda
sociedad regular colectiva,src
societa a garanzia limitata,sagl
societa cooperativa agricola,scagr
societa cooperativa,socoop
societa di gestione del risparmio,sgr
societa in accomandita per azioni,sapa
societa in accomandita semplice,sias
societa in nome collettivo,snc
societa per azioni o a,spa
societas cooperativa europaea,sce
societa semplice,ss
societas europaea,se
societate in comandita pe actiuni,sca
societate in comandita simpla,scs
societate in nume colectiv,snc
societate pe actiuni,sa
societe a finalite sociale,sfs
societe anonyme d'economie mixte,saem
societe anonyme egyptienne,sae
societe anonyme koweit,sak
societe anonyme libanaise,sal
societe anonyme monaco,sam
societe anonyme,sa
societe a responsabilite limitee,sarl
societe civile financiere,scf
societe civile immobiliere,sci
societe civile,sc
societe cooperative a responsabilite limitee,scrl
societe cooperative,socoop
societe de groupe d’assurance mutuelle,sgam
societe d’investissement a capital fixe,sicaf
societe d'investissement a capital variable - fonds d’investissement specialises,sicav-fis
societe d'investissement a capital variable,sicav
societe en commandite par actions,sca
societe en commandite simple,scs
societe en nom collectif,snc
societe en participation,sp
societe par actions simplifiée a associe unique,sasu
societe par actions simplifiée,sas
societe privee a responsabilite limitee,sprl
sogo-gaisha,sogo gaisha
sole proprietorship,sprop
sole tradership,st
sole traders/proprietorships,osvc
sougo kaisha,sk
special purpose company,spc
spolecnost s rucenim omezenym,sro
spolka akcyjna,sa
spolka cywilna,scy
spolka jawna,spj
spolka komandytowa,spk
spolka komandytowo-akcyjna,ska
spolka partnerska,spp
spolka z ograniczona odpowiedzialnoscia spolka komandytowa,spzoosk
spolka z ograniczona odpowiedzialnoscia,spzoo
staatliche einheit,pubbod
statsforetak,sf
taisühing,tu
theoranta,teo
tikroji ukine bendrija,tub
tokusyu hojin,th
tokutei mokuteki kaisha,tmk
toshi jigyo yugen sekininn kumiai,tjysk
towarischtschestwo s ogranitschennoj otwetstwennostju,too
trust / treuhandverhaltnis,trust
uitgesloten aansprakelijkheid,ua
ukine bendrija,ub
unincorporated association,uia
union de cooperatives agricoles a capital variable,udcaacv
unlimited liability company,ulc
unlimited,unltd
unternehmergesellschaft & co kg,ugcokg
unternehmergesellschaft & co kg,ugucokg
unternehmergesellschaft,ug
usaldusuhing,uu
vennootschap onder firma,vof
verein,v
verejna obchodna spolocnost (o a ),vos
vereniging zonder winstoogmerk,vzw
versicherungsverein auf gegenseitigkeit,vvag
versicherungsverein,vv
waarborgmaatschappij,wbm
wettelijke aansprakelijkheid,wa
with limited liability,wll
wohnungseigentuemergemeinschaft,weg
wohnungseigentumergemeinschaft,weg
yugen sekinin jigyo kumiai,ysjk
zaidan hojin,zh
zakrytoe akzionernoje obschtschestwo,zao
zartkoruen mukodo reszvenytarsasag,zrt
zemes ukio bendrove,zub
zentralbank,centralbank
zivnostnik,osvc
